,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,popularity_scores,genre
10,0.791,0.529,8,-6.805,1,0.0405,0.374,9.69e-06,0.126,0.345,123.919,audio_features,4cdESchp1uMtwsOYRV6YF2,spotify:track:4cdESchp1uMtwsOYRV6YF2,https://api.spotify.com/v1/tracks/4cdESchp1uMtwsOYRV6YF2,https://api.spotify.com/v1/audio-analysis/4cdESchp1uMtwsOYRV6YF2,213524,4,Follow the Light,20,chinese drama ost
11,0.918,0.459,6,-6.962,0,0.0427,0.079,0.0593,0.0532,0.962,113.818,audio_features,4UQH52FfgGpzDShKDbBvEA,spotify:track:4UQH52FfgGpzDShKDbBvEA,https://api.spotify.com/v1/tracks/4UQH52FfgGpzDShKDbBvEA,https://api.spotify.com/v1/audio-analysis/4UQH52FfgGpzDShKDbBvEA,284507,4,Forget Me Nots - Remastered,59,disco
12,0.736,0.764,8,-6.736,0,0.0482,0.222,0.00154,0.192,0.404,112.033,audio_features,64rqvMhAPLLEag310IG3z9,spotify:track:64rqvMhAPLLEag310IG3z9,https://api.spotify.com/v1/tracks/64rqvMhAPLLEag310IG3z9,https://api.spotify.com/v1/audio-analysis/64rqvMhAPLLEag310IG3z9,306429,4,Greek Tragedy - Oliver Nelson TikTok Remix,67,liverpool indie
13,0.722,0.851,10,-2.589,1,0.264,0.35,0.0,0.0661,0.763,122.012,audio_features,3QD0Y1tTngihByjdWC99lG,spotify:track:3QD0Y1tTngihByjdWC99lG,https://api.spotify.com/v1/tracks/3QD0Y1tTngihByjdWC99lG,https://api.spotify.com/v1/audio-analysis/3QD0Y1tTngihByjdWC99lG,164053,4,Killing Me,62,k-pop
14,0.648,0.904,6,-4.565,0,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,audio_features,7kRKlFCFLAUwt43HWtauhX,spotify:track:7kRKlFCFLAUwt43HWtauhX,https://api.spotify.com/v1/tracks/7kRKlFCFLAUwt43HWtauhX,https://api.spotify.com/v1/audio-analysis/7kRKlFCFLAUwt43HWtauhX,327967,4,LOST IN PARADISE,68,japanese soul
15,0.699,0.907,9,-1.208,0,0.0544,0.0868,0.0,0.115,0.621,115.978,audio_features,3WfaJhCL4p2JbdffJjV6Va,spotify:track:3WfaJhCL4p2JbdffJjV6Va,https://api.spotify.com/v1/tracks/3WfaJhCL4p2JbdffJjV6Va,https://api.spotify.com/v1/audio-analysis/3WfaJhCL4p2JbdffJjV6Va,218994,4,La Vie en Rose,66,k-pop
16,0.609,0.826,3,-5.843,1,0.0415,0.0257,0.0,0.0462,0.796,90.353,audio_features,3WWwNpb25m3UPtzODEO2Bg,spotify:track:3WWwNpb25m3UPtzODEO2Bg,https://api.spotify.com/v1/tracks/3WWwNpb25m3UPtzODEO2Bg,https://api.spotify.com/v1/audio-analysis/3WWwNpb25m3UPtzODEO2Bg,193558,4,Lay It Down,0,
17,0.764,0.785,4,-3.528,1,0.033,0.0303,0.0,0.315,0.974,113.019,audio_features,4jjI9eHfSHtsmacfjeZvhc,spotify:track:4jjI9eHfSHtsmacfjeZvhc,https://api.spotify.com/v1/tracks/4jjI9eHfSHtsmacfjeZvhc,https://api.spotify.com/v1/audio-analysis/4jjI9eHfSHtsmacfjeZvhc,161351,4,LazyBaby,1,pop
18,0.899,0.446,6,-8.118,0,0.11,0.58,0.0,0.0876,0.897,102.033,audio_features,31pfoNavshN4lGQfcwGgpm,spotify:track:31pfoNavshN4lGQfcwGgpm,https://api.spotify.com/v1/tracks/31pfoNavshN4lGQfcwGgpm,https://api.spotify.com/v1/audio-analysis/31pfoNavshN4lGQfcwGgpm,170104,4,Manila,0,
19,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,audio_features,7hU3IHwjX150XLoTVmjD0q,spotify:track:7hU3IHwjX150XLoTVmjD0q,https://api.spotify.com/v1/tracks/7hU3IHwjX150XLoTVmjD0q,https://api.spotify.com/v1/audio-analysis/7hU3IHwjX150XLoTVmjD0q,168228,4,MONEY,78,k-pop
20,0.762,0.791,2,-5.267,1,0.102,0.015,2.49e-06,0.312,0.393,120.015,audio_features,72rUKYfdSaMVhgUhajRvrX,spotify:track:72rUKYfdSaMVhgUhajRvrX,https://api.spotify.com/v1/tracks/72rUKYfdSaMVhgUhajRvrX,https://api.spotify.com/v1/audio-analysis/72rUKYfdSaMVhgUhajRvrX,174107,4,New Rules,59,k-pop
21,0.554,0.964,4,-3.054,0,0.134,0.00216,0.0,0.109,0.897,161.013,audio_features,3yBeQAxk5Jb6bzvUpqu5qX,spotify:track:3yBeQAxk5Jb6bzvUpqu5qX,https://api.spotify.com/v1/tracks/3yBeQAxk5Jb6bzvUpqu5qX,https://api.spotify.com/v1/audio-analysis/3yBeQAxk5Jb6bzvUpqu5qX,173627,4,Paradise,57,japanese pop rap
